Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EmbededCode,Chrome 69.0.3497.100,,2018-09-27 18:25:58,2018-09-27 18:26:20,"21,297s",PASSED
,,,,,,
Test Cases/EmbededCode_Stage/testEmbededCodeCheckBtn,Chrome 69.0.3497.100,,2018-09-27 18:25:59,2018-09-27 18:26:19,"20,106s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-27 18:25:59,2018-09-27 18:26:06,"6,898s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:26:06,2018-09-27 18:26:06,"0,162s",PASSED
sendKeys,Chrome 69.0.3497.100,,2018-09-27 18:26:06,2018-09-27 18:26:07,"0,241s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:26:07,2018-09-27 18:26:07,"0,217s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:26:07,2018-09-27 18:26:07,"0,072s",PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-09-27 18:26:07,2018-09-27 18:26:08,"1,184s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:26:08,2018-09-27 18:26:08,"0,127s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:26:08,2018-09-27 18:26:08,"0,011s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:26:08,2018-09-27 18:26:18,"9,736s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:26:18,2018-09-27 18:26:18,"0,138s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-27 18:26:18,2018-09-27 18:26:18,"0,017s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-09-27 18:26:18,2018-09-27 18:26:19,"0,597s",PASSED
click,Chrome 69.0.3497.100,,2018-09-27 18:26:19,2018-09-27 18:26:19,"0,114s",PASSED
waitForElementNotVisible,Chrome 69.0.3497.100,,2018-09-27 18:26:19,2018-09-27 18:26:19,"0,068s",PASSED
verifyElementAttributeValue,Chrome 69.0.3497.100,,2018-09-27 18:26:19,2018-09-27 18:26:19,"0,052s",PASSED
"Statement - out.println(""Passed"")",Chrome 69.0.3497.100,,2018-09-27 18:26:19,2018-09-27 18:26:19,"0,011s",PASSED
